EaseLinearNone:							EaseLinearNone:
--------							--------
    0:  1234.500000						    0:  1234.500000
    1:  2840.421875						    1:  2840.421875
    2:  4446.343750						    2:  4446.343750
    3:  6052.265625						    3:  6052.265625
    4:  7658.187500						    4:  7658.187500
    5:  9264.109375						    5:  9264.109375
    6: 10870.030273						    6: 10870.030273
    7: 12475.951172						    7: 12475.951172
    8: 14081.874023						    8: 14081.874023
    9: 15687.794922						    9: 15687.794922
   10: 17293.716797						   10: 17293.716797
   11: 18899.638672						   11: 18899.638672
   12: 20505.558594						   12: 20505.558594
   13: 22111.482422						   13: 22111.482422
   14: 23717.402344						   14: 23717.402344
   15: 25323.326172						   15: 25323.326172
   16: 26929.248047						   16: 26929.248047
   17: 28535.169922						   17: 28535.169922
   18: 30141.089844						   18: 30141.089844
   19: 31747.011719						   19: 31747.011719
   20: 33352.933594						   20: 33352.933594
   21: 34958.855469						   21: 34958.855469
   22: 36564.777344						   22: 36564.777344
   23: 38170.695312						   23: 38170.695312
   24: 39776.617188						   24: 39776.617188
   25: 41382.542969						   25: 41382.542969
   26: 42988.464844						   26: 42988.464844
   27: 44594.386719						   27: 44594.386719
   28: 46200.304688						   28: 46200.304688
   29: 47806.226562						   29: 47806.226562
   30: 49412.152344						   30: 49412.152344
   31: 51018.074219						   31: 51018.074219
   32: 52623.996094						   32: 52623.996094
   33: 54229.917969						   33: 54229.917969
   34: 55835.839844						   34: 55835.839844
   35: 57441.761719						   35: 57441.761719
   36: 59047.679688						   36: 59047.679688
   37: 60653.601562						   37: 60653.601562
   38: 62259.523438						   38: 62259.523438
   39: 63865.445312						   39: 63865.445312
   40: 65471.367188						   40: 65471.367188
   41: 67077.289062						   41: 67077.289062
   42: 68683.210938						   42: 68683.210938
   43: 70289.132812						   43: 70289.132812
   44: 71895.054688						   44: 71895.054688
   45: 73500.976562						   45: 73500.976562
   46: 75106.890625						   46: 75106.890625
   47: 76712.812500						   47: 76712.812500
   48: 78318.734375						   48: 78318.734375
   49: 79924.664062						   49: 79924.664062
   50: 81530.585938						   50: 81530.585938
   51: 83136.507812						   51: 83136.507812
   52: 84742.429688						   52: 84742.429688
   53: 86348.351562						   53: 86348.351562
   54: 87954.273438						   54: 87954.273438
   55: 89560.195312						   55: 89560.195312
   56: 91166.109375						   56: 91166.109375
